City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yenagoa,NG,2022-04-17 04:21:26,4.9247,6.2642,76.93,92,54,3.42
1,Nikolskoye,RU,2022-04-17 04:21:27,59.7035,30.7861,34.79,76,50,2.33
2,Sarahan,IN,2022-04-17 04:21:27,31.5167,77.8,64.87,28,0,2.28
3,Xining,CN,2022-04-17 04:21:27,36.6167,101.7667,46.81,38,81,8.97
4,Union,US,2022-04-17 04:16:48,40.6334,-74.2663,46.94,87,100,8.05
5,Dayong,CN,2022-04-17 04:21:28,25.0209,118.2898,71.64,47,80,3.94
6,Byron Bay,AU,2022-04-17 04:20:57,-28.65,153.6167,72.95,71,100,9.44
7,Arraial Do Cabo,BR,2022-04-17 04:21:28,-22.9661,-42.0278,71.62,74,4,16.8
8,Mataura,NZ,2022-04-17 04:21:29,-46.1927,168.8643,53.47,48,95,2.46
9,Araucaria,BR,2022-04-17 04:21:29,-25.5931,-49.4103,56.01,92,58,5.46
10,Clyde River,CA,2022-04-17 04:21:29,70.4692,-68.5914,-10.97,77,100,5.75
11,Iqaluit,CA,2022-04-17 04:21:23,63.7506,-68.5145,2.93,77,75,16.11
12,Brigham City,US,2022-04-17 04:21:30,41.5102,-112.0155,51.82,73,100,4.0
13,Torbay,CA,2022-04-17 04:21:30,47.6666,-52.7314,45.37,71,40,26.46
14,Vaini,TO,2022-04-17 04:21:30,-21.2,-175.2,84.36,79,40,6.91
15,Cockburn Town,TC,2022-04-17 04:21:31,21.4612,-71.1419,77.47,83,100,22.21
16,Dunedin,NZ,2022-04-17 04:21:31,-45.8742,170.5036,54.81,73,98,11.99
17,Ushuaia,AR,2022-04-17 04:21:32,-54.8,-68.3,38.86,81,0,6.91
18,Busselton,AU,2022-04-17 04:21:32,-33.65,115.3333,66.16,44,36,10.67
19,Jamestown,US,2022-04-17 04:21:32,42.097,-79.2353,35.19,71,100,8.05
20,Albany,US,2022-04-17 04:20:18,42.6001,-73.9662,38.64,93,65,4.27
21,Saskylakh,RU,2022-04-17 04:21:33,71.9167,114.0833,21.96,92,100,20.07
22,Rawson,AR,2022-04-17 04:21:33,-43.3002,-65.1023,53.2,74,0,10.87
23,Kintinku,TZ,2022-04-17 04:21:33,-5.8833,35.2333,64.99,93,100,0.58
24,Arroyo,ES,2022-04-17 04:21:34,41.6096,-4.7969,47.14,74,0,3.44
25,Hobart,AU,2022-04-17 04:21:34,-42.8794,147.3294,81.27,40,0,19.57
26,Rikitea,PF,2022-04-17 04:18:56,-23.1203,-134.9692,78.76,67,20,13.91
27,Ponta Do Sol,PT,2022-04-17 04:21:34,32.6667,-17.1,70.43,41,100,8.9
28,Hermanus,ZA,2022-04-17 04:21:35,-34.4187,19.2345,55.8,85,5,12.19
29,Hasaki,JP,2022-04-17 04:17:21,35.7333,140.8333,61.2,55,98,9.26
30,Praia,CV,2022-04-17 04:21:35,14.9215,-23.5087,70.34,73,40,11.5
31,Genhe,CN,2022-04-17 04:21:36,50.7833,121.5167,36.7,29,20,6.78
