City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,32.81,82,62,3.2,broken clouds
1,Bluff,NZ,-46.6,168.3333,53.8,57,93,8.01,overcast clouds
2,Thompson,CA,55.7435,-97.8558,24.96,42,100,5.75,overcast clouds
3,Kirakira,SB,-10.4544,161.9205,85.57,62,91,5.86,light rain
4,Puerto Ayora,EC,-0.7393,-90.3518,75.4,91,79,5.32,broken clouds
5,Whitehorse,CA,60.7161,-135.0538,34.57,51,100,10.36,overcast clouds
6,Punta Arenas,CL,-53.15,-70.9167,46.51,81,40,13.8,scattered clouds
7,Kahului,US,20.8947,-156.47,80.62,44,20,14.97,few clouds
8,East London,ZA,-33.0153,27.9116,61.38,77,100,6.06,overcast clouds
9,Sarana,RU,56.4773,57.7259,29.07,87,100,1.32,overcast clouds
10,Sao Jose Do Rio Preto,BR,-20.8197,-49.3794,68.27,45,0,6.91,clear sky
11,Atuona,PF,-9.8,-139.0333,78.84,80,84,17.09,light rain
12,Mataura,NZ,-46.1927,168.8643,53.47,48,99,4.25,overcast clouds
13,Provideniya,RU,64.3833,-173.3,32.63,95,99,11.18,light snow
14,Matamoros,MX,25.5333,-103.25,86.31,15,100,4.45,overcast clouds
15,Yulara,AU,-25.2406,130.9889,80.44,36,5,9.22,clear sky
16,Kaitangata,NZ,-46.2817,169.8464,55.67,57,80,10.29,broken clouds
17,Castro,BR,-24.7911,-50.0119,49.57,96,0,5.3,clear sky
18,Jacareacanga,BR,-6.2222,-57.7528,73.87,99,99,0.6,overcast clouds
19,Camacha,PT,33.0833,-16.3333,60.22,82,20,13.8,few clouds
20,San Quintin,MX,30.4833,-115.95,60.28,79,0,21.34,clear sky
21,Hirara,JP,24.8,125.2833,73.26,68,75,11.5,broken clouds
22,Esperance,AU,-33.8667,121.9,62.44,64,93,15.35,overcast clouds
23,Natitingou,BJ,10.3042,1.3796,74.3,63,98,2.15,overcast clouds
24,Quesnel,CA,52.9999,-122.5029,46.9,18,20,4.61,few clouds
25,Khatanga,RU,71.9667,102.5,21.58,95,88,8.1,overcast clouds
26,Lebu,CL,-37.6167,-73.65,52.97,93,45,10.98,scattered clouds
27,Vardo,NO,70.3705,31.1107,38.26,83,100,29.17,overcast clouds
28,Nyandoma,RU,61.669,40.1991,20.57,94,80,3.47,broken clouds
29,Albany,US,42.6001,-73.9662,39.63,92,97,4.07,overcast clouds
30,Busselton,AU,-33.65,115.3333,63.77,47,52,10.69,broken clouds
31,Torbat-E Jam,IR,35.244,60.6225,55.74,59,95,10.22,overcast clouds
32,Rikitea,PF,-23.1203,-134.9692,78.82,68,32,12.93,scattered clouds
33,Buchanan,LR,5.8808,-10.0467,77.67,86,99,1.59,moderate rain
34,Kapaa,US,22.0752,-159.319,73.38,98,100,25.32,heavy intensity rain
35,Pedro Carbo,EC,-1.8333,-80.2333,72.82,96,100,4.45,moderate rain
36,Owando,CG,-0.4819,15.8999,73.17,88,82,1.23,broken clouds
37,New Norfolk,AU,-42.7826,147.0587,75.88,36,100,10.22,overcast clouds
38,Henties Bay,NA,-22.116,14.2845,59.63,82,83,5.41,broken clouds
39,Kodiak,US,57.79,-152.4072,40.51,75,100,13.8,overcast clouds
40,Mar Del Plata,AR,-38.0023,-57.5575,62.1,90,91,8.99,fog
41,Cape Town,ZA,-33.9258,18.4232,61.92,70,0,11.99,clear sky
42,Butaritari,KI,3.0707,172.7902,81.91,76,37,12.06,scattered clouds
43,Bredasdorp,ZA,-34.5322,20.0403,56.14,83,2,7.65,clear sky
44,Ushuaia,AR,-54.8,-68.3,37.06,81,0,4.61,clear sky
45,Port Alfred,ZA,-33.5906,26.891,58.17,93,100,9.35,overcast clouds
46,Hermanus,ZA,-34.4187,19.2345,56.8,82,5,13.42,clear sky
47,Faanui,PF,-16.4833,-151.75,81.34,72,6,11.7,light rain
48,Qui Nhon,VN,13.7667,109.2333,80.42,78,100,4.61,overcast clouds
49,Luderitz,NA,-26.6481,15.1594,61.7,62,0,11.81,clear sky
50,Jamestown,US,42.097,-79.2353,38.79,53,40,12.66,scattered clouds
51,Klaksvik,FO,62.2266,-6.589,47.32,97,100,22.53,moderate rain
52,Mahebourg,MU,-20.4081,57.7,77.29,88,75,11.5,broken clouds
53,Vila Velha,BR,-20.3297,-40.2925,75.15,80,0,13.0,clear sky
54,Najran,SA,17.4924,44.1277,79.45,27,4,0.34,clear sky
55,Acapulco,MX,16.8634,-99.8901,78.89,65,6,6.04,clear sky
56,Barrow,US,71.2906,-156.7887,8.62,72,0,18.41,clear sky
57,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,75.27,80,72,2.44,broken clouds
58,Makat,KZ,47.6469,53.3463,53.67,68,40,3.36,scattered clouds
59,Carnarvon,AU,-24.8667,113.6333,77.07,69,92,17.27,overcast clouds
60,Arman,RU,59.7,150.1667,27.66,63,67,4.72,broken clouds
61,Chokurdakh,RU,70.6333,147.9167,6.71,88,24,2.82,few clouds
62,Ozernovskiy,RU,51.5,156.5167,34.11,63,100,8.79,overcast clouds
63,Evensk,RU,61.95,159.2333,32.65,81,100,5.79,overcast clouds
64,Hobart,AU,-42.8794,147.3294,76.23,58,0,14.97,moderate rain
65,Rivadavia,AR,-33.1905,-68.4608,62.69,40,5,6.78,clear sky
66,Longyearbyen,SJ,78.2186,15.6401,21.04,68,40,6.91,scattered clouds
67,Vaini,TO,-21.2,-175.2,80.56,75,42,12.17,scattered clouds
68,Torbay,CA,47.6666,-52.7314,45.57,63,40,25.32,scattered clouds
69,Skegness,GB,53.1436,0.3363,46.58,82,100,9.13,overcast clouds
70,Xixiang,CN,35.1628,112.865,62.94,27,100,6.35,overcast clouds
71,Ahuimanu,US,21.4447,-157.8378,78.51,83,75,16.11,light rain
72,Tungor,RU,53.3808,142.9564,31.8,77,100,10.6,overcast clouds
73,Krutinka,RU,56.0055,71.5113,39.24,83,1,10.94,clear sky
74,Dikson,RU,73.5069,80.5464,6.53,94,100,14.54,overcast clouds
75,Namatanai,PG,-3.6667,152.4333,84.38,71,70,7.52,light rain
76,Pacific Grove,US,36.6177,-121.9166,61.02,75,40,11.01,scattered clouds
